ID,Page Name,Vector,Category
0,Hayvan,"[ 8.26169457e-02  3.82638544e-02  9.40241465e-02  3.55199652e-02
 -1.63594279e-02 -3.69661763e-02 -3.14692465e-03 -1.23552287e-01
 -9.68033101e-02  7.15197626e-02 -3.24348234e-02 -6.32266468e-02
  1.23549405e-01 -8.14127576e-05  1.28086015e-01  4.52686973e-02
  4.19895591e-02  9.56307131e-02 -4.99923725e-02 -2.09155165e-01
 -5.36138187e-02 -5.47097722e-02  8.08469490e-02 -1.61206426e-01
  1.36467898e-01  8.89351657e-02 -1.73801467e-02 -3.20950533e-03
 -1.07072697e-01 -8.91677461e-02 -8.33167376e-02  3.85625521e-03
  6.03188410e-03  2.77251636e-02  1.95714365e-01  8.67362532e-02
  1.18567551e-01  6.53380049e-02  1.01369463e-01 -3.93874554e-03
  7.53542965e-02  6.66084152e-02 -1.62299736e-02 -8.17850408e-02
  1.88400640e-02 -7.03330621e-02  8.59983240e-03 -2.86411837e-02
  1.54561016e-01 -2.32340156e-01  1.19813515e-02  1.03984178e-01
  4.23286756e-02 -3.07289731e-02  7.85608755e-02 -1.24082215e-02
 -5.64547108e-02  8.86015410e-02  1.03781657e-01  2.30541811e-03
 -7.42234635e-02 -1.06818624e-01  2.63434225e-02  2.04663118e-02
  1.44854781e-02  4.08307389e-02 -1.94546422e-01 -7.82132050e-02
 -1.03981018e-01  2.03932523e-01  4.37754764e-03  7.44566057e-02
  7.09437869e-03  3.90920402e-02 -5.39044582e-02  7.69451444e-02
  1.31546303e-01  9.82328802e-02 -1.10826499e-01 -5.52346111e-02
 -1.36652090e-01  2.93155555e-02  1.38558278e-01 -9.64817054e-02
  9.34348002e-02 -2.81913883e-02 -1.73163333e-01  1.84761902e-01
  1.26367768e-01  2.84060086e-02 -1.09101722e-01  3.69011622e-02
 -6.26818897e-02 -1.67551423e-01 -1.67200497e-01 -8.67431340e-02
  1.71586248e-02 -4.20171684e-02  1.33204919e-02 -5.48718016e-02]",Doğa
1,Dünya,"[-1.26397318e-01 -1.10289808e-01  7.91917449e-02  3.61286878e-02
  3.68780514e-02  1.87999483e-02 -9.00116232e-02 -1.49195985e-01
  7.18956819e-02  1.82179034e-01  1.52128777e-01  1.19450396e-01
 -1.66773482e-01  1.79005799e-01 -8.13742996e-02  7.92612588e-02
  1.76077459e-01 -1.82201108e-01 -4.12142482e-02  1.41421294e-02
 -9.28469911e-02 -1.04235633e-01  6.47772298e-02 -1.80952096e-02
 -1.01071732e-02 -1.41484816e-01 -2.08711229e-01 -5.10842683e-02
  3.38261301e-02  1.17802603e-01 -6.26478301e-02  4.23609884e-02
  8.16205021e-02  1.42335767e-02  8.16423383e-03  9.08823872e-02
 -3.96725048e-02  4.03719893e-02  1.22843009e-01  3.01976427e-01
 -3.29763780e-03 -7.98672976e-03 -1.22862178e-01 -1.66586236e-01
 -1.56991705e-01 -2.75358305e-02  6.24951854e-02  2.78158284e-02
 -4.96216448e-04  4.80374833e-03  4.04577588e-02 -9.04701716e-02
 -3.22429332e-02  4.77909097e-02 -1.47796345e-02  7.48726576e-02
 -5.46654709e-02  1.03765065e-01 -7.38723432e-02  6.36218295e-02
  1.51784359e-02 -8.10341311e-02  1.13162639e-01 -1.00501731e-01
 -4.55031149e-02  8.93771957e-02  6.03403665e-03 -4.74167192e-02
 -5.56439265e-03 -1.35183440e-01  5.46779596e-02  6.34639522e-02
 -1.08063332e-01  3.19461816e-02  8.25384233e-02 -1.36780541e-01
 -2.68287564e-02 -1.20633744e-01 -1.48621282e-01 -1.61603918e-01
 -2.00176363e-01  2.91029188e-02  1.05171281e-01 -1.10147156e-01
 -6.87660809e-02  1.22484177e-01 -4.63030023e-02  1.00596569e-01
  1.38981351e-01 -1.73702068e-02  5.71567376e-04 -8.56332604e-02
 -6.44624592e-02 -3.70342862e-02  1.68495911e-01 -4.78293941e-05
  1.61774854e-02  3.13507639e-02  1.12743081e-01 -2.17749149e-02]",Doğa
2,Afet,"[-5.31387093e-02 -6.34993983e-02 -1.24488206e-02  1.08099818e-02
  2.48286668e-02 -2.44781166e-01 -5.86577674e-02  6.71384063e-02
 -8.66532779e-02 -4.22837446e-02  1.48740265e-01  1.74215800e-01
 -1.69451082e-01 -7.46618289e-02 -6.24611590e-02  2.26109183e-02
  3.80623323e-02 -6.26878603e-02 -1.63929650e-02  7.40887506e-02
 -1.67620550e-01 -1.68182927e-01 -5.46644773e-02  7.65332292e-02
  1.74845024e-01  7.86159150e-02  6.32789979e-02  2.16734264e-02
 -6.13256290e-02  2.76338129e-02  1.00920903e-01  3.28075806e-02
  2.20807933e-02  1.71726381e-04 -1.08050559e-01  9.89095860e-03
  1.61219700e-01  1.96307510e-02 -2.14092834e-02  5.31380571e-03
  4.82125149e-02  1.44570542e-01  6.86172488e-02 -1.76851407e-03
  1.33914751e-01  3.99117213e-02 -1.16948664e-01 -1.29463087e-01
  8.43656175e-02  3.63682378e-02  5.21532381e-02 -3.24493699e-02
  2.22637498e-02  6.40038144e-03 -4.56351808e-02 -9.48278294e-02
  9.62115783e-03 -3.38569238e-04 -7.13353322e-03  1.77337015e-02
 -1.98058431e-01 -6.46210584e-02  1.65345779e-01 -1.99298842e-01
 -5.97045065e-02  8.94484565e-02 -1.38070104e-01 -7.37614091e-02
 -3.67378882e-02 -2.13901035e-02 -1.21789565e-01  5.84715789e-02
 -4.66148576e-02 -2.05591283e-02 -4.88506717e-02  1.99680359e-03
 -6.99142753e-02  1.77032033e-03  1.38451592e-02  3.33549013e-03
 -1.45806996e-01  1.36935368e-02 -3.77949844e-02 -1.78249266e-01
 -5.69078682e-02  8.40231269e-02  6.37885688e-02 -3.09970049e-02
  5.65794781e-02 -3.19162084e-03 -2.24659105e-01 -4.99826762e-02
  9.62177716e-02 -5.32951294e-02  1.73747039e-01  6.05914677e-02
 -1.21187631e-01  1.07691654e-01  3.27886493e-02 -1.22665846e-01]",Doğa
3,Doğa,"[-0.00053899  0.14981027 -0.02777244  0.00716794 -0.07270709 -0.01401658
 -0.02238524 -0.07985705  0.11723031 -0.02623221  0.03220978  0.0944841
 -0.21505822  0.0807454   0.04205794 -0.0831783  -0.03352965  0.00345343
 -0.05971476 -0.11339978  0.08684436 -0.07347673  0.03483867 -0.19133574
 -0.0040129  -0.02438089 -0.09766389  0.07400346 -0.00248696  0.09734708
  0.00712855  0.23964514  0.19151881 -0.00943622 -0.07385844  0.07685284
  0.11119616  0.11286066 -0.03067909  0.02973248  0.06778696 -0.0906532
 -0.01247176  0.0520623   0.02599813  0.09081193 -0.02908424 -0.04492826
  0.05284315 -0.09629553 -0.08443127 -0.05094874 -0.03445932  0.00616981
 -0.0188116   0.05443857 -0.12616331  0.0099677  -0.05540105  0.15790049
 -0.19760808 -0.14808778  0.20152662  0.03816249  0.05218446 -0.21257464
 -0.1118365  -0.00181584 -0.03734057  0.02763245 -0.04689941  0.02252361
 -0.12448387  0.13712062 -0.26150849  0.02504075 -0.02077517  0.07660467
  0.074863   -0.00868373 -0.10265061 -0.05650738 -0.02801347 -0.21882948
  0.03119396  0.0062582  -0.03793522  0.05198558 -0.00787533 -0.06647219
 -0.01863573  0.21236333  0.05643089 -0.04402643  0.04402505 -0.10848385
  0.0669034   0.0732625   0.03998288 -0.01312667]",Doğa
4,Bitki,"[ 0.07366663 -0.08248524 -0.04900459 -0.11997629  0.07708338 -0.06518761
  0.07001238 -0.0508514   0.07945349 -0.08693614 -0.04094242 -0.07836011
 -0.01866537 -0.14831644 -0.08442934  0.23740774 -0.0090138   0.05658525
  0.0419349  -0.11400588 -0.01304704  0.05684615  0.2457055  -0.13214196
  0.02129178  0.10125048 -0.00061413 -0.09545221 -0.02651303 -0.05186812
  0.00867482  0.09251788 -0.00929557  0.11266767  0.11548928 -0.04424686
  0.07990452 -0.12474762  0.04923099  0.1685617   0.10629048  0.02739799
 -0.1914349  -0.08314946  0.03674904 -0.05837346  0.09180956  0.14817912
  0.15014237 -0.06456032  0.05086425  0.04375736  0.08940297 -0.03361912
 -0.13683259 -0.00216846 -0.16800362  0.03199707  0.07043221  0.02751208
 -0.08577771  0.02717243 -0.03457754  0.11678833  0.07530923  0.05773079
  0.09514599 -0.14609227  0.07851576  0.01416022  0.01934293 -0.04380482
  0.073121    0.13547398  0.05670241  0.04558147  0.06776135  0.03194734
  0.05253887 -0.05077195 -0.08250034  0.00094164 -0.13720584 -0.15033846
 -0.05105135 -0.19480158 -0.00577275 -0.12151402  0.10422606 -0.01459497
  0.13781035  0.00733982  0.08273628 -0.11892441  0.03095694  0.10317216
  0.02680159 -0.08940504  0.00677273  0.02306134]",Doğa
5,Türkiye,"[-0.01250035 -0.16103382  0.04315023 -0.04710108  0.00224796  0.0569904
  0.07283889 -0.03998487 -0.02174718  0.01607204 -0.08412319 -0.04644
 -0.05343581  0.0384172  -0.18438553  0.03649401  0.00089828  0.04073125
 -0.04315912  0.03382417 -0.08151466  0.01782693  0.06310533  0.04194476
  0.05968568 -0.08332459 -0.00643353  0.12250598  0.09647194 -0.04034501
 -0.02622507  0.00117793  0.10391308  0.09355286 -0.24769504  0.16165934
 -0.03971044 -0.02254927  0.02917714  0.12577522 -0.01291224 -0.05442209
  0.07172202  0.04690849  0.04635145  0.14313788 -0.12358379  0.02168226
 -0.11836439  0.1314292  -0.14830851 -0.08567378  0.1094028   0.08287668
  0.00557991 -0.25692546 -0.17911287  0.01773211  0.05048837 -0.083959
 -0.16201553 -0.08936981  0.07098241  0.11059646  0.08139538  0.04479346
 -0.07563207 -0.03457701  0.02988871 -0.22105704  0.14609671  0.05247797
 -0.01035762 -0.1491004   0.03907787  0.07309021  0.06630068 -0.13309992
  0.21226266  0.0829183  -0.164026    0.08449745  0.02090141 -0.17140368
 -0.0794882  -0.16056622 -0.10070683  0.08820046  0.07274611 -0.02279332
 -0.14106327 -0.07309367 -0.11614794  0.00919293  0.1505035   0.11663862
  0.02506804  0.08931962  0.16833677 -0.10235006]",Siyaset
6,Siyaset,"[ 2.35923513e-01  2.44536466e-02 -6.58095327e-02  6.02160621e-02
  3.73686154e-02 -1.16261191e-01  1.80468907e-02 -1.27756749e-02
  3.07352789e-02 -2.28288283e-02  2.67197272e-02 -2.05382936e-01
 -1.37992867e-01  5.43824873e-02  7.90253303e-03 -5.97372414e-02
  1.33034712e-01 -1.64226585e-01 -4.34100402e-02  1.23596619e-01
  3.31068556e-02 -1.58040372e-02 -1.13733147e-01  1.96612826e-02
  1.57333138e-01 -1.33392041e-01 -8.17527344e-02  6.90651949e-02
  2.56162180e-02  6.92010448e-02 -3.69376483e-03 -8.91952592e-02
  2.24442815e-02  8.76771448e-02 -6.87310453e-02  3.01127022e-02
  1.98492027e-03  1.29449400e-01  9.48234017e-02  1.07161816e-02
 -1.45291721e-01  5.33034767e-02 -1.11817062e-01  4.23678166e-02
  1.93186114e-01 -7.87656184e-02 -9.65014552e-03  5.17638932e-02
  1.23095901e-01  6.67024632e-02  7.31706021e-02 -6.12488901e-02
  4.26690839e-02  2.91308405e-02  5.81421064e-02 -1.08680132e-01
 -1.03296123e-01  1.57356262e-01  8.47501372e-02 -1.15793498e-01
  1.60218233e-01 -1.03877706e-01  8.37492552e-02  1.45416015e-01
  6.06602253e-02  8.50074517e-02 -1.38499257e-01 -9.22824268e-02
 -7.26800097e-02 -7.32820374e-02  4.42018945e-02  2.98859376e-01
 -1.11716935e-01  8.50695602e-02  6.50090516e-02  1.24192995e-01
 -6.20617370e-02 -9.86797131e-02 -4.57286402e-03  5.62406002e-05
 -4.60923975e-04 -1.25639245e-01  1.38009233e-02 -1.21205064e-01
 -1.81424047e-01 -4.79800411e-02 -1.11771493e-01 -8.61481131e-02
  1.71142101e-01 -8.40812063e-02 -1.99405575e-02 -4.29045351e-03
 -7.82230004e-02 -3.45808159e-02 -8.37723852e-03  1.27659829e-01
 -9.43737266e-02 -8.90197443e-02 -4.33268639e-02  1.22851340e-01]",Siyaset
7,Siyasi Parti,"[-0.04869713 -0.07386915  0.00792305 -0.0140199   0.0566544   0.01291049
  0.06568642  0.03357297  0.07846705  0.20061262 -0.01446806 -0.03517528
  0.08466402  0.01100187  0.01434079  0.02347382  0.22955254 -0.07204889
 -0.0584233   0.09074725  0.00834385  0.19307129  0.0340448   0.0088993
 -0.10108741  0.00693605 -0.03318814  0.01043348  0.0913633   0.01349339
 -0.13845727  0.09074246  0.0337684   0.1814181  -0.03604289 -0.07436171
 -0.0455797   0.12684582 -0.11765836 -0.24025768 -0.11398362 -0.0481923
  0.0103285   0.00531056 -0.03914926  0.02220569  0.0345864  -0.14632816
 -0.02990056  0.01609313 -0.04357812 -0.02062943  0.05237356  0.08075211
  0.05301873  0.03277162 -0.06840753 -0.00297762  0.01783244 -0.21006399
 -0.0173221   0.06375355  0.04643695 -0.12571665 -0.00704999 -0.01718307
 -0.05188485  0.05812952  0.30553177  0.02561388  0.07908379 -0.07808266
  0.0511651   0.10188032 -0.12573101  0.08841291  0.08857995 -0.10321138
  0.11192652 -0.02940501 -0.12783234 -0.11250493 -0.03623905 -0.0670656
  0.04114609  0.12479011 -0.11331125  0.02734316 -0.03215548 -0.04351287
 -0.00668546 -0.11247474  0.1018608  -0.06666353 -0.15289647  0.10817545
 -0.12885467  0.11699319  0.08924566  0.00981566]",Siyaset
8,Birleşmiş Milletler,"[ 0.02139424  0.03585973 -0.07605888  0.09383041 -0.06624632 -0.05635749
  0.03466652  0.26063897 -0.04348773  0.06216486 -0.02868695 -0.12329674
 -0.25236859 -0.00132366 -0.09820982 -0.00634305  0.15225162 -0.09453488
  0.08633647  0.08301068  0.06329927 -0.0842406   0.06791285  0.05866609
 -0.01617198 -0.15702622  0.10010135  0.08964833  0.02104731  0.09952111
  0.07189922 -0.00100716  0.00779591  0.01722875  0.15318366  0.10309132
 -0.13972961 -0.01254422  0.0861988   0.14236301  0.06427929 -0.15518863
  0.01329885  0.13987305  0.08216216 -0.06040961 -0.04410278 -0.02153515
 -0.03874713  0.10818415  0.10299044  0.10872338 -0.0420347  -0.07068135
 -0.01666455 -0.04239753  0.05399671 -0.03167971  0.01466957 -0.04009428
 -0.17825684  0.11703527 -0.03257946 -0.02759203  0.09934825  0.00558154
  0.18775723  0.16740667  0.02318819 -0.0394047   0.05291902 -0.05167121
 -0.11757037  0.20569893 -0.0218892  -0.15870284 -0.04066206 -0.16016138
  0.0593351  -0.01340555 -0.06709694  0.00561812  0.05077809  0.05079744
  0.18509702 -0.00631195  0.09264698 -0.07507352  0.21661372  0.06952792
  0.01857288  0.07504465  0.02157963 -0.0626418   0.12694113  0.05598833
 -0.00067934  0.22032134  0.05620913 -0.02849589]",Siyaset
